sample_id,video_id,clip_id,duration_seconds,audio_duration_seconds,video_duration_seconds,audio_sample_rate,fps,width,height,label,annotation,text,raw_media_checked,feature_status,alignment_status
-NFrJFQijFE$_$2,-NFrJFQijFE,2,9.76,6.698005,6.856,44100,25/1,1280,720,0.0,Neutral,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,True,待自主提取,待时间对齐
-RfYyzHpjk4$_$2,-RfYyzHpjk4,2,6.234,5.391995,5.516016,44100,30/1,1280,720,0.3333333432674408,Positive,"You can make a conference call but it takes quite a bit of planning, well not a lot of planning it's pretty easy to do.",True,待自主提取,待时间对齐
-RfYyzHpjk4$_$8,-RfYyzHpjk4,8,11.657,4.531995,4.588997,44100,30/1,1280,720,0.3333333432674408,Positive,"It's pretty, pretty easy to do but you got to set up those numbers ahead of time.",True,待自主提取,待时间对齐
-RfYyzHpjk4$_$11,-RfYyzHpjk4,11,11.7,5.073991,5.238997,44100,30/1,1280,720,2.0,Positive,"So get your friends lined up, get your business colleagues lined up and have a good time.",True,待自主提取,待时间对齐
-THoVjtIkeU$_$2,-THoVjtIkeU,2,4.644,4.23,4.291992,44100,30/1,640,360,1.3333333730697632,Positive,I think social justice is extremely important for young people.,True,待自主提取,待时间对齐
-THoVjtIkeU$_$6,-THoVjtIkeU,6,11.067,7.982993,8.097005,44100,30/1,640,360,2.6666667461395264,Positive,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",True,待自主提取,待时间对齐
-THoVjtIkeU$_$12,-THoVjtIkeU,12,18.8,14.805011,14.896029,44100,30/1,640,360,2.0,Positive,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",True,待自主提取,待时间对齐
-UUCSKoHeMA$_$0,-UUCSKoHeMA,0,7.867,7.731995,7.8,44100,30/1,470,360,0.0,Neutral,"I mentioned a word in the last clip called 'monotone', and I want to talk about that briefly.",True,待自主提取,待时间对齐
-UacrmKiTn4$_$4,-UacrmKiTn4,4,6.223,4.680998,4.741016,44100,30/1,470,360,-1.3333333730697632,Negative,Just given to their own devices they are not going to read the textbook.,True,待自主提取,待时间对齐
-UacrmKiTn4$_$10,-UacrmKiTn4,10,12.634,7.241995,7.361979,44100,30/1,470,360,-0.6666666865348816,Negative,"Because, if they are not in any way held accountable for reading the material they won't do it.",True,待自主提取,待时间对齐
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,3.7,3.576009,3.633333,44100,30/1,1280,720,2.6666667461395264,Positive,^it's amazing to see their enthusiasm and their passion,True,待自主提取,待时间对齐
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,13.434,10.267007,10.35,44100,30/1,1280,720,1.6666666269302368,Positive,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,True,待自主提取,待时间对齐
-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,10.634,4.038005,4.130013,44100,30/1,1280,720,0.3333333432674408,Positive,My goal is to become a human rights lawyer,True,待自主提取,待时间对齐
-UuX1xuaiiE$_$6,-UuX1xuaiiE,6,15.234,7.943991,8.113997,44100,30/1,1280,720,-0.3333333432674408,Negative,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",True,待自主提取,待时间对齐
-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,22.617,22.083991,22.153971,44100,30/1,480,270,0.6666666865348816,Positive,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",True,待自主提取,待时间对齐
-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,11.334,8.538005,8.694987,44100,30/1,480,360,0.0,Neutral,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",True,待自主提取,待时间对齐
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,11.0,10.89,10.966667,44100,30/1,1280,720,-2.0,Negative,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",True,待自主提取,待时间对齐
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,20.534,20.41,20.5,44100,30/1,320,240,1.0,Positive,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",True,待自主提取,待时间对齐
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1,19.7,16.019002,16.161003,44100,30/1,320,240,1.6666666269302368,Positive,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",True,待自主提取,待时间对齐
-dxfTGcXJoc$_$2,-dxfTGcXJoc,2,19.552,16.632993,16.697982,44100,30/1,320,240,0.6666666865348816,Positive,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",True,待自主提取,待时间对齐
-dxfTGcXJoc$_$6,-dxfTGcXJoc,6,12.967,12.628005,12.735026,44100,30/1,320,240,0.6666666865348816,Positive,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,True,待自主提取,待时间对齐
-egA8-b7-3M$_$1,-egA8-b7-3M,1,11.534,10.156009,10.266016,44100,30/1,640,360,0.6666666865348816,Positive,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,True,待自主提取,待时间对齐
-egA8-b7-3M$_$6,-egA8-b7-3M,6,8.035,6.182993,6.264974,44100,30/1,640,360,0.6666666865348816,Positive,First exhibiting is a wonderful opportunity to network with other legal vendors.,True,待自主提取,待时间对齐
-egA8-b7-3M$_$9,-egA8-b7-3M,9,10.134,4.936009,5.089974,44100,30/1,640,360,0.3333333432674408,Positive,"Secondly, another goal of exhibiting  is building your company image.",True,待自主提取,待时间对齐
-egA8-b7-3M$_$13,-egA8-b7-3M,13,6.967,4.023991,4.183984,44100,30/1,640,360,0.3333333432674408,Positive,"What are you doing that's different?"" They always want an answer.",True,待自主提取,待时间对齐
-egA8-b7-3M$_$16,-egA8-b7-3M,16,7.129,5.482993,5.538021,44100,30/1,640,360,0.6666666865348816,Positive,"Third, another big benefit of exhibiting is connecting with existing clients.",True,待自主提取,待时间对齐
-egA8-b7-3M$_$17,-egA8-b7-3M,17,14.0,7.095011,7.271029,44100,30/1,640,360,0.3333333432674408,Positive,"As you have more experience, you have more times exhibiting, you get to know more people.",True,待自主提取,待时间对齐
-egA8-b7-3M$_$18,-egA8-b7-3M,18,13.367,8.266009,8.386003,44100,30/1,640,360,1.0,Positive,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,True,待自主提取,待时间对齐
-egA8-b7-3M$_$20,-egA8-b7-3M,20,14.767,6.475011,6.644987,44100,30/1,640,360,0.3333333432674408,Positive,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",True,待自主提取,待时间对齐
-egA8-b7-3M$_$26,-egA8-b7-3M,26,11.5,5.92,6.03099,44100,30/1,640,360,1.6666666269302368,Positive,We're updating it all the time and looking forward to your comments on our videos.,True,待自主提取,待时间对齐
-hnBHBN8p5A$_$6,-hnBHBN8p5A,6,11.429,6.332993,6.401,44100,24660000/1028527,1280,720,1.0,Positive,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",True,待自主提取,待时间对齐
-hnBHBN8p5A$_$7,-hnBHBN8p5A,7,9.176,7.308005,7.372,44100,24000/1001,1280,720,0.6666666865348816,Positive,"Picture this, before we actually start hacking, we’re in a room formal setting",True,待自主提取,待时间对齐
-iRBcNs9oI8$_$3,-iRBcNs9oI8,3,5.84,5.538005,5.621,44100,30000/1001,1280,720,0.6666666865348816,Positive,"Well, it is the secret of power pose",True,待自主提取,待时间对齐
-iRBcNs9oI8$_$6,-iRBcNs9oI8,6,7.475,2.820998,2.903,44100,30000/1001,1280,720,0.3333333432674408,Positive,What is a power pose,True,待自主提取,待时间对齐
-iRBcNs9oI8$_$7,-iRBcNs9oI8,7,5.806,4.006009,4.104,44100,30000/1001,1280,720,0.6666666865348816,Positive,"Well, for starters, let's look at the word ""power""",True,待自主提取,待时间对齐
-iRBcNs9oI8$_$8,-iRBcNs9oI8,8,8.642,8.026009,8.093,44100,30000/1001,1280,720,1.0,Positive,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",True,待自主提取,待时间对齐
-iRBcNs9oI8$_$9,-iRBcNs9oI8,9,7.152,3.373991,3.416,44100,30000/1001,1280,720,1.3333333730697632,Positive,Power is similar to strength,True,待自主提取,待时间对齐
-lzEya4AM_4$_$5,-lzEya4AM_4,5,7.8,7.57,7.675,44100,30/1,470,360,-0.6666666865348816,Negative,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",True,待自主提取,待时间对齐
-lzEya4AM_4$_$6,-lzEya4AM_4,6,22.733,14.740998,14.791992,44100,30/1,470,360,-0.3333333432674408,Negative,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",True,待自主提取,待时间对齐
-mJ2ud6oKI8$_$1,-mJ2ud6oKI8,1,6.574,6.053991,6.103,44100,30000/1001,1280,720,0.0,Neutral,There are a dozen or more hands on techniques that we can do,True,待自主提取,待时间对齐
-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,2,6.781,5.701995,5.731,44100,30000/1001,1280,720,0.0,Neutral,So physical therapists and chiropractors will do joint manipulations and mobilizations,True,待自主提取,待时间对齐
-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,6,2.648,2.229002,2.257,44100,30000/1001,1280,720,0.3333333432674408,Positive,They are all very safe,True,待自主提取,待时间对齐
-mJ2ud6oKI8$_$8,-mJ2ud6oKI8,8,8.662,4.171995,4.192,44100,30000/1001,1280,720,-0.3333333432674408,Negative,Sometimes we have to stretch that joint that is already irritated,True,待自主提取,待时间对齐
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,9,10.01,6.909002,7.033,44100,30000/1001,1280,720,0.0,Neutral,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",True,待自主提取,待时间对齐
-mqbVkbCndg$_$0,-mqbVkbCndg,0,6.5,6.385011,6.466667,44100,30/1,1280,720,0.0,Neutral,"How, at a particular moment in time—our moment in time—are they limited",True,待自主提取,待时间对齐
-qDkUB0GgYY$_$6,-qDkUB0GgYY,6,9.683,4.613991,4.677995,44100,30/1,360,360,1.3333333730697632,Positive,"We always love to hear what you say, and like and share this video as well.",True,待自主提取,待时间对齐
-ri04Z7vwnc$_$0,-ri04Z7vwnc,0,3.295,2.762993,2.807,44100,3555000/148273,1280,720,0.0,Neutral,going to get married or are already married,True,待自主提取,待时间对齐
-ri04Z7vwnc$_$2,-ri04Z7vwnc,2,6.966,5.913991,6.027,44100,7470000/311561,1280,720,-0.3333333432674408,Negative,"most people think it'll sort itself out, ""we'll discuss it later,"" it's not something too important",True,待自主提取,待时间对齐
-ri04Z7vwnc$_$5,-ri04Z7vwnc,5,5.965,3.44,3.545,44100,1597500/66629,1280,720,0.3333333432674408,Positive,""" So I think it's important to discuss finances",True,待自主提取,待时间对齐
-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,0,6.867,6.71,6.8,44100,30/1,1280,720,-0.3333333432674408,Negative,"they have doubt, they have fear, they lose in a Ferrari race, or they lose in a race, and then they just give up",True,待自主提取,待时间对齐
-s9qJ7ATP7w$_$1,-s9qJ7ATP7w,1,10.9,4.643991,4.791992,44100,30/1,1280,720,0.6666666865348816,Positive,"But the hardest thing in life to learn, is to lose",True,待自主提取,待时间对齐
-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,4,6.2,4.247007,4.427018,44100,30/1,1280,720,0.0,Neutral,"I have lost at everything you can imagine, seriously",True,待自主提取,待时间对齐
-s9qJ7ATP7w$_$5,-s9qJ7ATP7w,5,13.567,8.398005,8.561003,44100,30/1,1280,720,-2.0,Negative,"I have been beat up and put down and everything that can go wrong, has gone wrong for me",True,待自主提取,待时间对齐
-s9qJ7ATP7w$_$6,-s9qJ7ATP7w,6,6.6,2.315011,2.475,44100,30/1,1280,720,0.0,Neutral,But I just kept going,True,待自主提取,待时间对齐
-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,7,12.767,6.839002,6.966016,44100,30/1,1280,720,1.0,Positive,"I used to work for Warren Avis, the guy who started Avis Rent a Car, and he said to me one day, ""Robert, ""what's the purpose of business",True,待自主提取,待时间对齐
-s9qJ7ATP7w$_$8,-s9qJ7ATP7w,8,6.6,3.183991,3.294987,44100,30/1,1280,720,1.3333333730697632,Positive,""" And I said, ""Oh, make a profit, and all these other things",True,待自主提取,待时间对齐
-t217m2on-s$_$2,-t217m2on-s,2,8.011,5.63,5.686003,44100,30/1,480,270,0.6666666865348816,Positive,"But a good thing to do is yawning, chewing gum is effective.",True,待自主提取,待时间对齐
-t217m2on-s$_$7,-t217m2on-s,7,18.7,17.026009,17.183008,44100,30/1,480,270,-0.6666666865348816,Negative,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.",True,待自主提取,待时间对齐
-tANM6ETl_M$_$3,-tANM6ETl_M,3,9.1,6.603991,6.758008,44100,30/1,1280,720,0.3333333432674408,Positive,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.",True,待自主提取,待时间对齐
-tPCytz4rww$_$10,-tPCytz4rww,10,11.734,4.678005,4.788997,44100,30/1,480,270,0.0,Neutral,Say twenty percent so if you've got a thousand square foot condo.,True,待自主提取,待时间对齐
-tPCytz4rww$_$11,-tPCytz4rww,11,8.0,5.378005,5.466992,44100,30/1,480,270,0.0,Neutral,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet.",True,待自主提取,待时间对齐
-tPCytz4rww$_$12,-tPCytz4rww,12,18.767,11.736009,11.863997,44100,30/1,480,270,0.0,Neutral,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.",True,待自主提取,待时间对齐
-tPCytz4rww$_$16,-tPCytz4rww,16,13.236,7.139002,7.20599,44100,30/1,480,270,0.0,Neutral,So make sure to get a through or to do a through cleaning of the property.,True,待自主提取,待时间对齐
-tPCytz4rww$_$18,-tPCytz4rww,18,14.281,6.569002,6.644987,44100,30/1,480,270,0.0,Neutral,Do so and as well you'll also want to remove any clutter from that you've accumulated.,True,待自主提取,待时间对齐
-uywlfIYOS8$_$4,-uywlfIYOS8,4,14.334,5.881995,6.044987,44100,30/1,480,270,0.3333333432674408,Positive,"And then from a brand point of view, we need to make sure we're driving the relevant insight.",True,待自主提取,待时间对齐
-vxjVxOeScU$_$4,-vxjVxOeScU,4,11.734,9.037007,9.127018,44100,30/1,480,360,1.0,Positive,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.",True,待自主提取,待时间对齐
-wMB_hJL-3o$_$7,-wMB_hJL-3o,7,7.315,5.976009,6.04401,44100,30/1,480,360,0.3333333432674408,Positive,So if you have a loved one who is depressed those are some of the things that you should think about doing.,True,待自主提取,待时间对齐
-wny0OAz3g8$_$0,-wny0OAz3g8,0,3.334,3.273991,3.333333,44100,30/1,1280,720,0.3333333432674408,Positive,trade labor unions didn’t allow Black workers to join,True,待自主提取,待时间对齐
-wny0OAz3g8$_$1,-wny0OAz3g8,1,9.1,6.776009,6.84401,44100,30/1,1280,720,0.3333333432674408,Positive,"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work",True,待自主提取,待时间对齐
-wny0OAz3g8$_$2,-wny0OAz3g8,2,11.934,6.522993,6.686979,44100,30/1,1280,720,-0.3333333432674408,Negative,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior",True,待自主提取,待时间对齐
-wny0OAz3g8$_$3,-wny0OAz3g8,3,11.169,6.1,6.146029,44100,30/1,1280,720,-1.3333333730697632,Negative,Which then allowed the white workers and unions to justify their decision to not allow black workers into their union,True,待自主提取,待时间对齐
-wny0OAz3g8$_$5,-wny0OAz3g8,5,9.967,6.740998,6.911979,44100,30/1,1280,720,1.0,Positive,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",True,待自主提取,待时间对齐
-wny0OAz3g8$_$7,-wny0OAz3g8,7,9.5,7.910998,8.067969,44100,30/1,1280,720,0.0,Neutral,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,True,待自主提取,待时间对齐
-wny0OAz3g8$_$9,-wny0OAz3g8,9,9.867,6.042993,6.213021,44100,30/1,1280,720,0.6666666865348816,Positive,"He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more",True,待自主提取,待时间对齐
-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,1,34.567,29.109002,29.288021,44100,30/1,1280,720,0.0,Neutral,"it comes with the assistance and agitation of states and regimes, Yesterday Iran announced that it will finance the families of the terrorists and murderers this shows that Iran, even after the nuclear agreement, is continuing to aid terrorism, including Palestinian terrorism, Hezbollah terrorism and its assistance to Hamas.",True,待自主提取,待时间对齐
-yRb-Jum7EQ$_$5,-yRb-Jum7EQ,5,13.634,13.043991,13.16901,44100,30/1,1280,720,-0.6666666865348816,Negative,"Yesterday Eliav Gelman lost his life in another terrorist attack, not by the students of terrorism, but by those who teach terrorism, a Palestinian teacher.",True,待自主提取,待时间对齐
-yRb-Jum7EQ$_$6,-yRb-Jum7EQ,6,15.488,11.241995,11.225977,44100,30/1,1280,720,0.0,Neutral,"Therefore, the world needs to stand with Israel against this incitement, which is the number one cause of terrorism.",True,待自主提取,待时间对齐
